"InstrLevel","AfAmF","AfAmM","AIANF","AIANM","AsianF","AsianM","HispF","HispM","NHOPIF","NHOPIM","WhF","WhM","MultF","MultM","NRAF","NRAM","UnkF","UnkM","AllF","AllM","GenderNoneTotal","AllTotal","SortNum",
"Graduate","309","157","14","7","59","44","54","45","0","0","1,573","1,407","0","0","338","544","107","86","2,454","2,290","0","4,744","2",
"Total","1,703","1,511","50","55","187","256","298","394","0","0","6,504","8,264","0","0","475","729","379","636","9,596","11,845","0","21,441","4",
"Southern Illinois University Edwardsville","","","","","","","","","","","","","","","","",
"Undergraduate","722","380","20","12","94","101","91","93","0","0","5,035","4,263","0","0","55","79","0","0","6,017","4,928","0","10,945","1",
"Graduate","108","53","4","4","24","21","19","9","0","0","1,313","702","0","0","99","159","0","0","1,567","948","0","2,515","2",
"Total","830","433","24","16","118","122","110","102","0","0","6,348","4,965","0","0","154","238","0","0","7,584","5,876","0","13,460","4",
"U of I at Chicago","","","","","","","","","","","","","","","","",
"Undergraduate","934","426","23","14","1,878","1,801","1,441","1,058","0","0","3,311","3,250","0","0","119","91","396","408","8,102","7,048","0","15,150","1",
"Graduate","595","201","18","13","712","552","416","265","0","0","2,854","1,911","0","0","780","913","262","170","5,637","4,025","0","9,662","2",
"Total","1,529","627","41","27","2,590","2,353","1,857","1,323","0","0","6,165","5,161","0","0","899","1,004","658","578","13,739","11,073","0","24,812","4",
"U of I at Springfield","","","","","","","","","","","","","","","","",
"Undergraduate","170","60","6","5","36","32","32","23","0","0","1,249","846","0","0","5","12","84","74","1,582","1,052","0","2,634","1",
"Graduate","98","37","5","0","25","26","9","12","0","0","832","533","0","0","80","157","42","27","1,091","792","0","1,883","2",
"Total","268","97","11","5","61","58","41","35","0","0","2,081","1,379","0","0","85","169","126","101","2,673","1,844","0","4,517","4",
"U of I at Urbana/Champaign","","","","","","","","","","","","","","","","",
"Undergraduate","1,228","799","40","48","1,676","2,218","947","1,019","0","0","9,757","11,118","0","0","529","911","242","377","14,419","16,490","0","30,909","1",
"Graduate","288","161","15","17","349","452","203","171","0","0","2,712","2,938","0","0","1,437","1,930","201","155","5,205","5,824","0","11,029","2",
"Total","1,516","960","55","65","2,025","2,670","1,150","1,190","0","0","12,469","14,056","0","0","1,966","2,841","443","532","19,624","22,314","0","41,938","4",
"Western Illinois University","","","","","","","","","","","","","","","","",
"Undergraduate","433","341","18","11","60","94","210","218","0","0","4,482","4,714","0","0","59","61","231","352","5,493","5,791","0","11,284","1",
"Graduate","50","31","6","4","14","5","30","20","0","0","1,088","595","0","0","60","111","56","50","1,304","816","0","2,120","2",
"Total","483","372","24","15","74","99","240","238","0","0","5,570","5,309","0","0","119","172","287","402","6,797","6,607","0","13,404","4",
" Total Enrollment at Public Universities","","","","","","","","","","","","","","","","",
"Undergraduate","12,289","6,606","221","210","5,152","5,677","6,220","4,774","0","0","52,720","49,714","0","0","1,180","1,617","2,349","2,800","80,131","71,398","0","151,529","11",
"Graduate","3,836","1,411","89","63","1,558","1,347","1,466","853","0","0","18,142","12,513","0","0","3,265","4,482","1,019","752","29,375","21,421","0","50,796","12",
"Sector Total","16,125","8,017","310","273","6,710","7,024","7,686","5,627","0","0","70,862","62,227","0","0","4,445","6,099","3,368","3,552","109,506","92,819","0","202,325","14",
" Community Colleges:","","","","","","","","","","","","","","","","",
"Black Hawk College","","","","","","","","","","","","","","","","",
"Undergraduate","286","252","22","9","44","31","352","232","0","0","3,192","1,987","0","0","0","0","0","0","3,896","2,511","0","6,407","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","286","252","22","9","44","31","352","232","0","0","3,192","1,987","0","0","0","0","0","0","3,896","2,511","0","6,407","4",
"Carl Sandburg College","","","","","","","","","","","","","","","","",
"Undergraduate","68","43","7","4","9","6","58","36","0","0","1,928","1,091","0","0","6","4","0","0","2,076","1,184","0","3,260","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","68","43","7","4","9","6","58","36","0","0","1,928","1,091","0","0","6","4","0","0","2,076","1,184","0","3,260","4",
"CCC - Harold Washington College","","","","","","","","","","","","","","","","",
"Undergraduate","2,026","1,189","37","22","478","483","861","647","0","0","953","917","0","0","0","0","0","0","4,355","3,258","0","7,613","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,026","1,189","37","22","478","483","861","647","0","0","953","917","0","0","0","0","0","0","4,355","3,258","0","7,613","4",
"CCC - Harry S Truman College","","","","","","","","","","","","","","","","",
"Undergraduate","1,240","774","32","26","875","554","3,147","3,252","0","0","1,643","975","0","0","0","0","0","0","6,937","5,581","0","12,518","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,240","774","32","26","875","554","3,147","3,252","0","0","1,643","975","0","0","0","0","0","0","6,937","5,581","0","12,518","4",
"CCC - Kennedy-King College","","","","","","","","","","","","","","","","",
"Undergraduate","3,082","1,335","22","10","115","58","213","189","0","0","92","158","0","0","0","0","0","0","3,524","1,750","0","5,274","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,082","1,335","22","10","115","58","213","189","0","0","92","158","0","0","0","0","0","0","3,524","1,750","0","5,274","4",
"CCC - Malcolm X College","","","","","","","","","","","","","","","","",
"Undergraduate","2,909","1,240","25","9","231","130","1,187","903","0","0","302","213","0","0","0","0","0","0","4,654","2,495","0","7,149","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,909","1,240","25","9","231","130","1,187","903","0","0","302","213","0","0","0","0","0","0","4,654","2,495","0","7,149","4",
"CCC - Olive-Harvey College","","","","","","","","","","","","","","","","",
"Undergraduate","2,805","1,182","15","5","13","6","556","344","0","0","44","26","0","0","0","0","0","0","3,433","1,563","0","4,996","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","2,805","1,182","15","5","13","6","556","344","0","0","44","26","0","0","0","0","0","0","3,433","1,563","0","4,996","4",
"CCC - Richard J. Daley College","","","","","","","","","","","","","","","","",
"Undergraduate","1,520","652","26","8","75","60","4,018","2,559","0","0","658","401","0","0","0","0","0","0","6,297","3,680","0","9,977","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,520","652","26","8","75","60","4,018","2,559","0","0","658","401","0","0","0","0","0","0","6,297","3,680","0","9,977","4",
"CCC - Wilbur Wright College","","","","","","","","","","","","","","","","",
"Undergraduate","546","374","36","23","422","371","3,130","2,275","0","0","2,365","1,580","0","0","0","0","0","0","6,499","4,623","0","11,122","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","546","374","36","23","422","371","3,130","2,275","0","0","2,365","1,580","0","0","0","0","0","0","6,499","4,623","0","11,122","4",
"College of DuPage","","","","","","","","","","","","","","","","",
"Undergraduate","909","654","39","34","1,740","1,476","2,065","1,715","0","0","10,031","8,160","0","0","0","0","168","126","14,952","12,165","0","27,117","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","909","654","39","34","1,740","1,476","2,065","1,715","0","0","10,031","8,160","0","0","0","0","168","126","14,952","12,165","0","27,117","4",
"College of Lake County","","","","","","","","","","","","","","","","",
"Undergraduate","849","469","22","19","515","410","2,049","1,549","0","0","5,343","4,160","0","0","224","136","0","0","9,002","6,743","0","15,745","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","849","469","22","19","515","410","2,049","1,549","0","0","5,343","4,160","0","0","224","136","0","0","9,002","6,743","0","15,745","4",
"Danville Area Community College","","","","","","","","","","","","","","","","",
"Undergraduate","178","104","7","3","12","10","47","29","0","0","1,497","840","0","0","0","1","0","0","1,741","987","0","2,728","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","178","104","7","3","12","10","47","29","0","0","1,497","840","0","0","0","1","0","0","1,741","987","0","2,728","4",
"Elgin Community College","","","","","","","","","","","","","","","","",
"Undergraduate","299","177","12","9","347","297","1,587","1,404","0","0","3,496","2,821","0","0","0","0","0","0","5,741","4,708","0","10,449","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","299","177","12","9","347","297","1,587","1,404","0","0","3,496","2,821","0","0","0","0","0","0","5,741","4,708","0","10,449","4",
"Harper College","","","","","","","","","","","","","","","","",
"Undergraduate","332","247","25","15","1,046","815","1,120","1,019","0","0","5,254","3,823","0","0","58","30","696","546","8,531","6,495","0","15,026","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","332","247","25","15","1,046","815","1,120","1,019","0","0","5,254","3,823","0","0","58","30","696","546","8,531","6,495","0","15,026","4",
"Heartland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","256","165","12","4","70","38","84","62","0","0","2,261","1,768","0","0","7","9","0","0","2,690","2,046","0","4,736","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","256","165","12","4","70","38","84","62","0","0","2,261","1,768","0","0","7","9","0","0","2,690","2,046","0","4,736","4",
"Highland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","108","70","1","1","12","17","18","19","0","0","1,365","791","0","0","2","2","0","0","1,506","900","0","2,406","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","108","70","1","1","12","17","18","19","0","0","1,365","791","0","0","2","2","0","0","1,506","900","0","2,406","4",
"Illinois Central College","","","","","","","","","","","","","","","","",
"Undergraduate","733","480","26","28","135","75","136","150","0","0","5,847","4,719","0","0","45","28","0","0","6,922","5,480","0","12,402","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","733","480","26","28","135","75","136","150","0","0","5,847","4,719","0","0","45","28","0","0","6,922","5,480","0","12,402","4",
"Illinois Eastern - Frontier","","","","","","","","","","","","","","","","",
"Undergraduate","3","2","1","1","13","10","4","3","0","0","1,399","728","0","0","0","0","0","0","1,420","744","0","2,164","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3","2","1","1","13","10","4","3","0","0","1,399","728","0","0","0","0","0","0","1,420","744","0","2,164","4",
"Illinois Eastern - Lincoln Trail","","","","","","","","","","","","","","","","",
"Undergraduate","15","215","2","1","11","15","3","61","0","0","709","496","0","0","3","1","0","0","743","789","0","1,532","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","15","215","2","1","11","15","3","61","0","0","709","496","0","0","3","1","0","0","743","789","0","1,532","4",
"Illinois Eastern - Olney Central","","","","","","","","","","","","","","","","",
"Undergraduate","0","13","2","0","9","10","7","4","0","0","956","698","0","0","0","2","0","0","974","727","0","1,701","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","0","13","2","0","9","10","7","4","0","0","956","698","0","0","0","2","0","0","974","727","0","1,701","4",
"Illinois Eastern - Wabash Valley","","","","","","","","","","","","","","","","",
"Undergraduate","37","49","2","4","19","22","5","24","0","0","1,166","1,824","0","0","2","1","0","0","1,231","1,924","0","3,155","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","37","49","2","4","19","22","5","24","0","0","1,166","1,824","0","0","2","1","0","0","1,231","1,924","0","3,155","4",
"Illinois Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","24","110","1","4","23","19","119","107","0","0","1,980","1,450","0","0","0","0","93","97","2,240","1,787","0","4,027","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","24","110","1","4","23","19","119","107","0","0","1,980","1,450","0","0","0","0","93","97","2,240","1,787","0","4,027","4",
"John A. Logan College","","","","","","","","","","","","","","","","",
"Undergraduate","261","281","11","14","31","38","48","61","0","0","3,831","2,852","0","0","2","1","0","0","4,184","3,247","0","7,431","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","261","281","11","14","31","38","48","61","0","0","3,831","2,852","0","0","2","1","0","0","4,184","3,247","0","7,431","4",
"John Wood Community College","","","","","","","","","","","","","","","","",
"Undergraduate","64","30","7","0","16","10","18","7","0","0","1,425","819","0","0","1","6","66","61","1,597","933","0","2,530","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","64","30","7","0","16","10","18","7","0","0","1,425","819","0","0","1","6","66","61","1,597","933","0","2,530","4",
"Joliet Junior College","","","","","","","","","","","","","","","","",
"Undergraduate","830","539","17","19","186","146","1,101","781","0","0","5,602","3,783","0","0","12","6","0","0","7,748","5,274","0","13,022","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","830","539","17","19","186","146","1,101","781","0","0","5,602","3,783","0","0","12","6","0","0","7,748","5,274","0","13,022","4",
"Kankakee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","317","129","6","4","16","16","80","52","0","0","1,734","1,011","0","0","3","1","0","0","2,156","1,213","0","3,369","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","317","129","6","4","16","16","80","52","0","0","1,734","1,011","0","0","3","1","0","0","2,156","1,213","0","3,369","4",
"Kaskaskia College","","","","","","","","","","","","","","","","",
"Undergraduate","155","161","18","9","15","9","25","49","0","0","2,577","1,739","0","0","5","2","0","0","2,795","1,969","0","4,764","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","155","161","18","9","15","9","25","49","0","0","2,577","1,739","0","0","5","2","0","0","2,795","1,969","0","4,764","4",
"Kishwaukee College","","","","","","","","","","","","","","","","",
"Undergraduate","302","249","11","6","69","57","256","181","0","0","1,799","1,414","0","0","3","1","0","0","2,440","1,908","0","4,348","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","302","249","11","6","69","57","256","181","0","0","1,799","1,414","0","0","3","1","0","0","2,440","1,908","0","4,348","4",
"Lake Land College","","","","","","","","","","","","","","","","",
"Undergraduate","80","519","6","9","16","31","31","139","0","0","3,230","3,077","0","0","17","26","0","0","3,380","3,801","0","7,181","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","80","519","6","9","16","31","31","139","0","0","3,230","3,077","0","0","17","26","0","0","3,380","3,801","0","7,181","4",
"Lewis &amp; Clark Community College","","","","","","","","","","","","","","","","",
"Undergraduate","306","149","8","8","24","10","29","23","0","0","4,047","2,880","0","0","21","7","0","0","4,435","3,077","0","7,512","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","306","149","8","8","24","10","29","23","0","0","4,047","2,880","0","0","21","7","0","0","4,435","3,077","0","7,512","4",
"Lincoln Land Community College","","","","","","","","","","","","","","","","",
"Undergraduate","325","167","12","12","41","39","70","46","0","0","3,609","2,514","0","0","3","9","0","0","4,060","2,787","0","6,847","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","325","167","12","12","41","39","70","46","0","0","3,609","2,514","0","0","3","9","0","0","4,060","2,787","0","6,847","4",
"McHenry County College","","","","","","","","","","","","","","","","",
"Undergraduate","21","22","15","4","46","44","211","159","0","0","2,787","2,049","0","0","55","31","0","0","3,135","2,309","0","5,444","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","21","22","15","4","46","44","211","159","0","0","2,787","2,049","0","0","55","31","0","0","3,135","2,309","0","5,444","4",
"Moraine Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","903","511","18","19","191","179","924","792","0","0","7,089","5,069","0","0","106","128","0","0","9,231","6,698","0","15,929","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","903","511","18","19","191","179","924","792","0","0","7,089","5,069","0","0","106","128","0","0","9,231","6,698","0","15,929","4",
"Morton College","","","","","","","","","","","","","","","","",
"Undergraduate","112","57","4","0","62","39","2,163","1,357","0","0","550","311","0","0","52","37","0","0","2,943","1,801","0","4,744","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","112","57","4","0","62","39","2,163","1,357","0","0","550","311","0","0","52","37","0","0","2,943","1,801","0","4,744","4",
"Oakton Community College","","","","","","","","","","","","","","","","",
"Undergraduate","315","209","8","12","966","878","457","356","0","0","4,476","3,363","0","0","0","0","0","0","6,222","4,818","0","11,040","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","315","209","8","12","966","878","457","356","0","0","4,476","3,363","0","0","0","0","0","0","6,222","4,818","0","11,040","4",
"Parkland College","","","","","","","","","","","","","","","","",
"Undergraduate","695","620","30","20","203","152","139","202","0","0","3,965","3,355","0","0","251","120","0","0","5,283","4,469","0","9,752","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","695","620","30","20","203","152","139","202","0","0","3,965","3,355","0","0","251","120","0","0","5,283","4,469","0","9,752","4",
"Prairie State College","","","","","","","","","","","","","","","","",
"Undergraduate","1,571","820","24","6","29","32","301","194","0","0","1,124","836","0","0","6","4","77","59","3,132","1,951","0","5,083","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,571","820","24","6","29","32","301","194","0","0","1,124","836","0","0","6","4","77","59","3,132","1,951","0","5,083","4",
"Rend Lake College","","","","","","","","","","","","","","","","",
"Undergraduate","95","255","9","6","23","19","17","57","0","0","2,445","1,980","0","0","3","4","0","0","2,592","2,321","0","4,913","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","95","255","9","6","23","19","17","57","0","0","2,445","1,980","0","0","3","4","0","0","2,592","2,321","0","4,913","4",
"Richland Community College","","","","","","","","","","","","","","","","",
"Undergraduate","305","72","9","6","21","6","18","10","0","0","1,656","926","0","0","2","3","0","0","2,011","1,023","0","3,034","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","305","72","9","6","21","6","18","10","0","0","1,656","926","0","0","2","3","0","0","2,011","1,023","0","3,034","4",
"Rock Valley College","","","","","","","","","","","","","","","","",
"Undergraduate","429","269","28","6","128","92","297","196","0","0","3,944","2,730","0","0","13","13","0","0","4,839","3,306","0","8,145","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","429","269","28","6","128","92","297","196","0","0","3,944","2,730","0","0","13","13","0","0","4,839","3,306","0","8,145","4",
"Sauk Valley Community College","","","","","","","","","","","","","","","","",
"Undergraduate","28","25","3","2","10","14","123","73","0","0","1,531","936","0","0","0","0","0","0","1,695","1,050","0","2,745","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","28","25","3","2","10","14","123","73","0","0","1,531","936","0","0","0","0","0","0","1,695","1,050","0","2,745","4",
"Shawnee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","258","119","8","2","8","7","17","6","0","0","1,022","528","0","0","0","0","0","0","1,313","662","0","1,975","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","258","119","8","2","8","7","17","6","0","0","1,022","528","0","0","0","0","0","0","1,313","662","0","1,975","4",
"South Suburban Coll. of Cook Co.","","","","","","","","","","","","","","","","",
"Undergraduate","3,320","1,159","15","7","39","38","340","185","0","0","1,299","653","0","0","10","7","0","0","5,023","2,049","0","7,072","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","3,320","1,159","15","7","39","38","340","185","0","0","1,299","653","0","0","10","7","0","0","5,023","2,049","0","7,072","4",
"Southeastern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","41","487","4","5","10","9","11","89","0","0","1,178","1,112","0","0","3","0","0","0","1,247","1,702","0","2,949","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","41","487","4","5","10","9","11","89","0","0","1,178","1,112","0","0","3","0","0","0","1,247","1,702","0","2,949","4",
"Southwestern Illinois College","","","","","","","","","","","","","","","","",
"Undergraduate","1,766","860","50","34","174","80","217","162","0","0","6,071","5,055","0","0","9","1","0","0","8,287","6,192","0","14,479","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,766","860","50","34","174","80","217","162","0","0","6,071","5,055","0","0","9","1","0","0","8,287","6,192","0","14,479","4",
"Spoon River College","","","","","","","","","","","","","","","","",
"Undergraduate","38","73","7","5","17","16","9","12","0","0","1,208","946","0","0","1","1","0","0","1,280","1,053","0","2,333","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","38","73","7","5","17","16","9","12","0","0","1,208","946","0","0","1","1","0","0","1,280","1,053","0","2,333","4",
"Triton College","","","","","","","","","","","","","","","","",
"Undergraduate","1,740","873","27","15","310","288","2,319","1,863","0","0","4,446","3,833","0","0","22","17","52","40","8,916","6,929","0","15,845","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","1,740","873","27","15","310","288","2,319","1,863","0","0","4,446","3,833","0","0","22","17","52","40","8,916","6,929","0","15,845","4",
"Waubonsee Community College","","","","","","","","","","","","","","","","",
"Undergraduate","355","218","20","10","129","78","1,383","1,275","0","0","3,143","2,220","0","0","2","1","0","0","5,032","3,802","0","8,834","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","355","218","20","10","129","78","1,383","1,275","0","0","3,143","2,220","0","0","2","1","0","0","5,032","3,802","0","8,834","4",
" Total Enrollment at Community Colleges","","","","","","","","","","","","","","","","",
"Undergraduate","32,857","18,669","749","479","8,994","7,240","31,370","24,910","0","0","128,269","95,617","0","0","949","640","1,152","929","204,340","148,484","0","352,824","11",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12",
"Sector Total","32,857","18,669","749","479","8,994","7,240","31,370","24,910","0","0","128,269","95,617","0","0","949","640","1,152","929","204,340","148,484","0","352,824","14",
" Independent NFP Institutions:","","","","","","","","","","","","","","","","",
"Adler University","","","","","","","","","","","","","","","","",
"Undergraduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",
"Graduate","34","11","0","1","13","2","16","7","0","0","236","73","0","0","0","0","42","23","341","117","0","458","2",
"Total","34","11","0","1","13","2","16","7","0","0","236","73","0","0","0","0","42","23","341","117","0","458","4",
"American Academy of Art","","","","","","","","","","","","","","","","",
"Undergraduate","13","31","0","0","5","10","23","57","0","0","115","141","0","0","0","1","0","0","156","240","0","396","1",
"Graduate","0","0","0","0","2","0","2","2","0","0","4","4","0","0","0","0","0","0","8","6","0","14","2",
"Total","13","31","0","0","7","10","25","59","0","0","119","145","0","0","0","1","0","0","164","246","0","410","4",
"Augustana College","","","","","","","","","","","","","","","","",
"Undergraduate","29","21","5","2","33","20","44","29","0","0","1,263","917","0","0","14","9","0","0","1,388","998","0","2,386","1",
"Graduate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",
"Total","29","21","5","2","33","20","44","29","0","0","1,263","917","0","0","14","9","0","0","1,388","998","0","2,386","4",
